2962702814433030120 False 1.4781951904296875e-05 pcputimes(user=0.11, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
6524110255155659318 False 1.5020370483398438e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
30519554687105863 False 1.5020370483398438e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2355553868484229527 False 1.4543533325195312e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
6077604882225540213 False 1.52587890625e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
7798790512661693678 False 1.4543533325195312e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
1592228925134832886 False 1.4543533325195312e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
6648038616865707682 False 1.5735626220703125e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
7231655007509645201 False 1.52587890625e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2180024381716878928 False 1.5020370483398438e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
1521759871710987427 False 1.5974044799804688e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
2070878517452617112 False 1.4543533325195312e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
5690090215034827230 False 1.52587890625e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
3753721492754923365 False 1.52587890625e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
8623761688203596080 False 1.4781951904296875e-05 pcputimes(user=0.12, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63565824, shared=8269824, text=3817472, lib=0, data=7766016, dirty=0)
